"code","latitude","longitude"
33435,-21.7919,-48.1797
33457,-28.2583,-52.4052
33460,-28.7814,-51.6076
33464,-15.6023,-47.6477
33465,-21.9384,-50.514
33467,-23.5856,-46.6779
33469,-22.7165,-43.5554
33489,-29.3854,-51.083
33498,-22.5517,-47.9084
33500,-22.7423,-43.4076
33501,-23.4932,-49.907
33502,-23.3228,-46.725
33504,-7.99898,-36.0522
33506,-17.5459,-39.7239
33507,-22.7795,-47.2942
33508,-8.78689,-63.8965
33525,-23.2175,-44.7247
33542,-14.0821,-46.3778
33553,-23.1014,-48.9352
33569,-23.102,-46.728
33575,-22.7819,-43.4284
33578,-22.9354,-52.1399
33579,-22.3171,-49.0481
33580,-30.9801,-54.6743
33582,-27.9486,-52.9296
33598,-4.33397,-45.1685
33599,-9.01506,-42.6973
33600,-22.8274,-43.0584
33601,-27.8212,-50.3247
33609,-14.4031,-56.427
33622,-22.8983,-47.0513
33644,-18.7056,-40.3982
33645,-12.1477,-44.9951
33646,-11.873,-55.4982
33648,-14.8641,-40.5591
33649,0.0344566,-51.0666
33665,-22.7282,-47.6498
33671,-13.0252,-46.7651
33672,-22.6114,-43.7095
33676,-5.3757,-49.1296
33677,-15.5848,-56.0799
33685,-22.9286,-43.3547
33714,-20.8204,-49.5167
33744,-9.17931,-60.6306
33746,-23.4982,-46.8424
33749,-23.5036,-47.4566
33758,-22.8764,-43.5274
33759,-22.8216,-47.2664
33761,-22.8365,-43.4121
33763,-22.9666,-43.6158
33766,-13.0634,-55.921
33773,-7.99358,-34.8431
33792,-21.1907,-48.1619
33793,-13.8385,-56.0808
33795,-4.45494,-43.8789
33796,-4.87467,-43.3469
33797,-4.22156,-44.7821
33802,-19.4901,-42.5266
33826,-3.7405,-43.3593
33831,-21.6741,-49.7587
33835,-30.0322,-51.2365
33857,-31.7444,-52.3338
33863,-19.8785,-44.9844
33866,-22.8311,-43.3236
33867,-22.5981,-46.5304
33879,-27.6129,-48.5838
33909,-22.4042,-43.1354
33945,-15.7519,-47.8973
33956,-20.0217,-45.5421
33967,-19.9767,-43.966
33981,-22.9467,-47.3163
33982,-30.0409,-52.8947
33983,-22.8804,-46.7923
33984,-28.8445,-51.8876
33985,-30.0692,-51.1064
33989,-23.1969,-52.2213
33996,-23.5479,-51.6701
34002,-28.2654,-52.4175
34006,-18.011,-49.3695
34009,-23.4739,-46.6703
34031,-28.6624,-51.7455
34032,-28.725,-51.7043
34050,-23.5822,-46.7323
34051,-10.9095,-37.0748
34053,-25.48,-49.2379
34066,-22.9622,-43.1752
34069,-23.4062,-46.4513
34070,-22.757,-47.4124
34078,-23.4443,-46.5476
34125,-23.3228,-51.1432
34128,-23.4961,-46.452
34129,-23.5223,-46.4182
